"","COD","NOME","TERRITORIO","AREA","PCT"
"371",1300029,"Alvarães","Arco do Desmatamento",0,0
"372",1300029,"Alvarães","Cidades",0,0
"373",1300029,"Alvarães","Outros",43289.93,7.31
"374",1300029,"Alvarães","Região Antropizada",0,0
"375",1300029,"Alvarães","Região Conservada",549051.33,92.69
"376",1300060,"Amaturá","Arco do Desmatamento",0,0
"377",1300060,"Amaturá","Cidades",0,0
"378",1300060,"Amaturá","Outros",68436.01,14.39
"379",1300060,"Amaturá","Região Antropizada",0,0
"380",1300060,"Amaturá","Região Conservada",406985.34,85.61
"381",1300086,"Anamã","Arco do Desmatamento",475.63,0.19
"382",1300086,"Anamã","Cidades",0,0
"383",1300086,"Anamã","Outros",41627.19,17.02
"384",1300086,"Anamã","Região Antropizada",0,0
"385",1300086,"Anamã","Região Conservada",202511.99,82.79
"386",1300102,"Anori","Arco do Desmatamento",9476.9,1.57
"387",1300102,"Anori","Cidades",0,0
"388",1300102,"Anori","Outros",169894.8,28.15
"389",1300102,"Anori","Região Antropizada",0,0
"390",1300102,"Anori","Região Conservada",424250.58,70.28
"391",1300144,"Apuí","Arco do Desmatamento",414157.33,7.63
"392",1300144,"Apuí","Cidades",0,0
"393",1300144,"Apuí","Outros",0,0
"394",1300144,"Apuí","Região Antropizada",79292.84,1.46
"395",1300144,"Apuí","Região Conservada",4931070.87,90.9
"396",1300201,"Atalaia do Norte","Arco do Desmatamento",590.98,0.01
"397",1300201,"Atalaia do Norte","Cidades",0,0
"398",1300201,"Atalaia do Norte","Outros",1998.41,0.03
"399",1300201,"Atalaia do Norte","Região Antropizada",0,0
"400",1300201,"Atalaia do Norte","Região Conservada",7640917.23,99.97
"401",1300300,"Autazes","Arco do Desmatamento",71414.96,9.33
"402",1300300,"Autazes","Cidades",0,0
"403",1300300,"Autazes","Outros",186797.16,24.41
"404",1300300,"Autazes","Região Antropizada",0,0
"405",1300300,"Autazes","Região Conservada",507071.09,66.26
"406",1300409,"Barcelos","Arco do Desmatamento",0,0
"407",1300409,"Barcelos","Cidades",0,0
"408",1300409,"Barcelos","Outros",658271.13,5.38
"409",1300409,"Barcelos","Região Antropizada",0,0
"410",1300409,"Barcelos","Região Conservada",11586744.3,94.62
"411",1300508,"Barreirinha","Arco do Desmatamento",29972.39,5.21
"412",1300508,"Barreirinha","Cidades",0,0
"413",1300508,"Barreirinha","Outros",119824.37,20.83
"414",1300508,"Barreirinha","Região Antropizada",0,0
"415",1300508,"Barreirinha","Região Conservada",425385.16,73.96
"416",1300607,"Benjamin Constant","Arco do Desmatamento",0,0
"417",1300607,"Benjamin Constant","Cidades",0,0
"418",1300607,"Benjamin Constant","Outros",27739.34,3.19
"419",1300607,"Benjamin Constant","Região Antropizada",0,0
"420",1300607,"Benjamin Constant","Região Conservada",841797.33,96.81
"421",1300631,"Beruri","Arco do Desmatamento",0,0
"422",1300631,"Beruri","Cidades",0,0
"423",1300631,"Beruri","Outros",176618.18,10.11
"424",1300631,"Beruri","Região Antropizada",0,0
"425",1300631,"Beruri","Região Conservada",1570658.11,89.89
"426",1300680,"Boa Vista do Ramos","Arco do Desmatamento",0,0
"427",1300680,"Boa Vista do Ramos","Cidades",0,0
"428",1300680,"Boa Vista do Ramos","Outros",73381.12,28.34
"429",1300680,"Boa Vista do Ramos","Região Antropizada",0,0
"430",1300680,"Boa Vista do Ramos","Região Conservada",185565.04,71.66
"431",1300706,"Boca do Acre","Arco do Desmatamento",306131.23,13.95
"432",1300706,"Boca do Acre","Cidades",0,0
"433",1300706,"Boca do Acre","Outros",0,0
"434",1300706,"Boca do Acre","Região Antropizada",103537.34,4.72
"435",1300706,"Boca do Acre","Região Conservada",1784196.71,81.33
"436",1300805,"Borba","Arco do Desmatamento",21.58,0
"437",1300805,"Borba","Cidades",0,0
"438",1300805,"Borba","Outros",257360.86,5.82
"439",1300805,"Borba","Região Antropizada",0,0
"440",1300805,"Borba","Região Conservada",4166172.94,94.18
"441",1300839,"Caapiranga","Arco do Desmatamento",17792.99,1.88
"442",1300839,"Caapiranga","Cidades",0,0
"443",1300839,"Caapiranga","Outros",54690.91,5.78
"444",1300839,"Caapiranga","Região Antropizada",0,0
"445",1300839,"Caapiranga","Região Conservada",873068.67,92.33
"446",1300904,"Canutama","Arco do Desmatamento",114920.66,3.42
"447",1300904,"Canutama","Cidades",0,0
"448",1300904,"Canutama","Outros",2078.04,0.06
"449",1300904,"Canutama","Região Antropizada",15488.83,0.46
"450",1300904,"Canutama","Região Conservada",3231864.84,96.06
"451",1301001,"Carauari","Arco do Desmatamento",9937.68,0.39
"452",1301001,"Carauari","Cidades",0,0
"453",1301001,"Carauari","Outros",0,0
"454",1301001,"Carauari","Região Antropizada",0,0
"455",1301001,"Carauari","Região Conservada",2567931.42,99.61
"456",1301100,"Careiro","Arco do Desmatamento",75082,12.32
"457",1301100,"Careiro","Cidades",0,0
"458",1301100,"Careiro","Outros",26327.32,4.32
"459",1301100,"Careiro","Região Antropizada",0,0
"460",1301100,"Careiro","Região Conservada",508212.32,83.37
"461",1301159,"Careiro da Várzea","Arco do Desmatamento",71860.98,27.35
"462",1301159,"Careiro da Várzea","Cidades",0,0
"463",1301159,"Careiro da Várzea","Outros",118008.78,44.92
"464",1301159,"Careiro da Várzea","Região Antropizada",0,0
"465",1301159,"Careiro da Várzea","Região Conservada",72863.64,27.73
"466",1301209,"Coari","Arco do Desmatamento",0,0
"467",1301209,"Coari","Cidades",0,0
"468",1301209,"Coari","Outros",501836.67,8.66
"469",1301209,"Coari","Região Antropizada",0,0
"470",1301209,"Coari","Região Conservada",5295251.53,91.34
"471",1301308,"Codajás","Arco do Desmatamento",0,0
"472",1301308,"Codajás","Cidades",0,0
"473",1301308,"Codajás","Outros",340318.82,18.2
"474",1301308,"Codajás","Região Antropizada",0,0
"475",1301308,"Codajás","Região Conservada",1529771.71,81.8
"476",1301407,"Eirunepé","Arco do Desmatamento",18755.81,1.25
"477",1301407,"Eirunepé","Cidades",0,0
"478",1301407,"Eirunepé","Outros",0,0
"479",1301407,"Eirunepé","Região Antropizada",0,0
"480",1301407,"Eirunepé","Região Conservada",1477860.98,98.75
"481",1301506,"Envira","Arco do Desmatamento",19839.19,2.64
"482",1301506,"Envira","Cidades",0,0
"483",1301506,"Envira","Outros",0,0
"484",1301506,"Envira","Região Antropizada",0,0
"485",1301506,"Envira","Região Conservada",730726.88,97.36
"486",1301605,"Fonte Boa","Arco do Desmatamento",0,0
"487",1301605,"Fonte Boa","Cidades",0,0
"488",1301605,"Fonte Boa","Outros",141701.46,11.66
"489",1301605,"Fonte Boa","Região Antropizada",0,0
"490",1301605,"Fonte Boa","Região Conservada",1073844.61,88.34
"491",1301654,"Guajará","Arco do Desmatamento",44948.61,5.93
"492",1301654,"Guajará","Cidades",0,0
"493",1301654,"Guajará","Outros",0,0
"494",1301654,"Guajará","Região Antropizada",9919.6,1.31
"495",1301654,"Guajará","Região Conservada",703470.59,92.76
"496",1301704,"Humaitá","Arco do Desmatamento",36775.62,1.11
"497",1301704,"Humaitá","Cidades",0,0
"498",1301704,"Humaitá","Outros",73491.3,2.22
"499",1301704,"Humaitá","Região Antropizada",0,0
"500",1301704,"Humaitá","Região Conservada",3200836,96.67
"501",1301803,"Ipixuna","Arco do Desmatamento",19210.17,1.59
"502",1301803,"Ipixuna","Cidades",0,0
"503",1301803,"Ipixuna","Outros",0,0
"504",1301803,"Ipixuna","Região Antropizada",0,0
"505",1301803,"Ipixuna","Região Conservada",1191740.17,98.41
"506",1301852,"Iranduba","Arco do Desmatamento",39186.5,17.68
"507",1301852,"Iranduba","Cidades",0,0
"508",1301852,"Iranduba","Outros",88576.24,39.96
"509",1301852,"Iranduba","Região Antropizada",0,0
"510",1301852,"Iranduba","Região Conservada",93920.63,42.37
"511",1301902,"Itacoatiara","Arco do Desmatamento",66418.88,7.47
"512",1301902,"Itacoatiara","Cidades",0,0
"513",1301902,"Itacoatiara","Outros",251175.35,28.25
"514",1301902,"Itacoatiara","Região Antropizada",0,0
"515",1301902,"Itacoatiara","Região Conservada",571583.79,64.28
"516",1301951,"Itamarati","Arco do Desmatamento",0,0
"517",1301951,"Itamarati","Cidades",0,0
"518",1301951,"Itamarati","Outros",0,0
"519",1301951,"Itamarati","Região Antropizada",0,0
"520",1301951,"Itamarati","Região Conservada",2526049.98,100
"521",1302009,"Itapiranga","Arco do Desmatamento",0,0
"522",1302009,"Itapiranga","Cidades",0,0
"523",1302009,"Itapiranga","Outros",44296.34,10.22
"524",1302009,"Itapiranga","Região Antropizada",0,0
"525",1302009,"Itapiranga","Região Conservada",389204.13,89.78
"526",1302108,"Japurá","Arco do Desmatamento",0,0
"527",1302108,"Japurá","Cidades",0,0
"528",1302108,"Japurá","Outros",303093.69,5.43
"529",1302108,"Japurá","Região Antropizada",0,0
"530",1302108,"Japurá","Região Conservada",5279569.89,94.57
"531",1302207,"Juruá","Arco do Desmatamento",0,0
"532",1302207,"Juruá","Cidades",0,0
"533",1302207,"Juruá","Outros",48857.09,2.51
"534",1302207,"Juruá","Região Antropizada",0,0
"535",1302207,"Juruá","Região Conservada",1895392.9,97.49
"536",1302306,"Jutaí","Arco do Desmatamento",8276.84,0.12
"537",1302306,"Jutaí","Cidades",0,0
"538",1302306,"Jutaí","Outros",71050.39,1.02
"539",1302306,"Jutaí","Região Antropizada",0,0
"540",1302306,"Jutaí","Região Conservada",6866407.5,98.86
"541",1302405,"Lábrea","Arco do Desmatamento",540375.45,7.92
"542",1302405,"Lábrea","Cidades",0,0
"543",1302405,"Lábrea","Outros",0,0
"544",1302405,"Lábrea","Região Antropizada",249045.64,3.65
"545",1302405,"Lábrea","Região Conservada",6036827.81,88.44
"546",1302504,"Manacapuru","Arco do Desmatamento",51606.35,7.03
"547",1302504,"Manacapuru","Cidades",0,0
"548",1302504,"Manacapuru","Outros",276436.29,37.68
"549",1302504,"Manacapuru","Região Antropizada",0,0
"550",1302504,"Manacapuru","Região Conservada",405612.95,55.29
"551",1302553,"Manaquiri","Arco do Desmatamento",30749.04,7.74
"552",1302553,"Manaquiri","Cidades",0,0
"553",1302553,"Manaquiri","Outros",58232.3,14.66
"554",1302553,"Manaquiri","Região Antropizada",0,0
"555",1302553,"Manaquiri","Região Conservada",308346.22,77.61
"556",1302603,"Manaus","Arco do Desmatamento",15830.91,1.39
"557",1302603,"Manaus","Cidades",39896.64,3.5
"558",1302603,"Manaus","Outros",208446.18,18.28
"559",1302603,"Manaus","Região Antropizada",0,0
"560",1302603,"Manaus","Região Conservada",875946.4,76.83
"561",1302702,"Manicoré","Arco do Desmatamento",150648.57,3.12
"562",1302702,"Manicoré","Cidades",0,0
"563",1302702,"Manicoré","Outros",82812.13,1.71
"564",1302702,"Manicoré","Região Antropizada",87785.14,1.82
"565",1302702,"Manicoré","Região Conservada",4510274.79,93.35
"566",1302801,"Maraã","Arco do Desmatamento",0,0
"567",1302801,"Maraã","Cidades",0,0
"568",1302801,"Maraã","Outros",285822.82,16.98
"569",1302801,"Maraã","Região Antropizada",0,0
"570",1302801,"Maraã","Região Conservada",1397273.52,83.02
"571",1302900,"Maués","Arco do Desmatamento",27927.89,0.7
"572",1302900,"Maués","Cidades",0,0
"573",1302900,"Maués","Outros",188686.17,4.72
"574",1302900,"Maués","Região Antropizada",0,0
"575",1302900,"Maués","Região Conservada",3782457.11,94.58
"576",1303007,"Nhamundá","Arco do Desmatamento",20421.4,1.45
"577",1303007,"Nhamundá","Cidades",0,0
"578",1303007,"Nhamundá","Outros",152926.14,10.84
"579",1303007,"Nhamundá","Região Antropizada",0,0
"580",1303007,"Nhamundá","Região Conservada",1237448.8,87.71
"581",1303106,"Nova Olinda do Norte","Arco do Desmatamento",38.99,0.01
"582",1303106,"Nova Olinda do Norte","Cidades",0,0
"583",1303106,"Nova Olinda do Norte","Outros",57270.51,10.27
"584",1303106,"Nova Olinda do Norte","Região Antropizada",0,0
"585",1303106,"Nova Olinda do Norte","Região Conservada",500514.25,89.73
"586",1303205,"Novo Airão","Arco do Desmatamento",0,0
"587",1303205,"Novo Airão","Cidades",0,0
"588",1303205,"Novo Airão","Outros",221783.88,5.87
"589",1303205,"Novo Airão","Região Antropizada",0,0
"590",1303205,"Novo Airão","Região Conservada",3558713.1,94.13
"591",1303304,"Novo Aripuanã","Arco do Desmatamento",188663.28,4.58
"592",1303304,"Novo Aripuanã","Cidades",0,0
"593",1303304,"Novo Aripuanã","Outros",42263.55,1.03
"594",1303304,"Novo Aripuanã","Região Antropizada",1320.53,0.03
"595",1303304,"Novo Aripuanã","Região Conservada",3885644.21,94.36
"596",1303403,"Parintins","Arco do Desmatamento",58361.89,9.8
"597",1303403,"Parintins","Cidades",0,0
"598",1303403,"Parintins","Outros",366931.37,61.6
"599",1303403,"Parintins","Região Antropizada",0,0
"600",1303403,"Parintins","Região Conservada",170348.52,28.6
"601",1303502,"Pauini","Arco do Desmatamento",19769.87,0.47
"602",1303502,"Pauini","Cidades",0,0
"603",1303502,"Pauini","Outros",0,0
"604",1303502,"Pauini","Região Antropizada",0,0
"605",1303502,"Pauini","Região Conservada",4142681.88,99.53
"606",1303536,"Presidente Figueiredo","Arco do Desmatamento",18901.3,0.74
"607",1303536,"Presidente Figueiredo","Cidades",0,0
"608",1303536,"Presidente Figueiredo","Outros",489243.88,19.25
"609",1303536,"Presidente Figueiredo","Região Antropizada",0,0
"610",1303536,"Presidente Figueiredo","Região Conservada",2033079.42,80
"611",1303569,"Rio Preto da Eva","Arco do Desmatamento",9961.93,1.71
"612",1303569,"Rio Preto da Eva","Cidades",0,0
"613",1303569,"Rio Preto da Eva","Outros",0,0
"614",1303569,"Rio Preto da Eva","Região Antropizada",0,0
"615",1303569,"Rio Preto da Eva","Região Conservada",571596.43,98.29
"616",1303601,"Santa Isabel do Rio Negro","Arco do Desmatamento",0,0
"617",1303601,"Santa Isabel do Rio Negro","Cidades",0,0
"618",1303601,"Santa Isabel do Rio Negro","Outros",158780.17,2.53
"619",1303601,"Santa Isabel do Rio Negro","Região Antropizada",0,0
"620",1303601,"Santa Isabel do Rio Negro","Região Conservada",6121230.07,97.47
"621",1303700,"Santo Antônio do Içá","Arco do Desmatamento",0,0
"622",1303700,"Santo Antônio do Içá","Cidades",0,0
"623",1303700,"Santo Antônio do Içá","Outros",47269.03,3.82
"624",1303700,"Santo Antônio do Içá","Região Antropizada",0,0
"625",1303700,"Santo Antônio do Içá","Região Conservada",1189332.52,96.18
"626",1303809,"São Gabriel da Cachoeira","Arco do Desmatamento",0,0
"627",1303809,"São Gabriel da Cachoeira","Cidades",0,0
"628",1303809,"São Gabriel da Cachoeira","Outros",58232.66,0.53
"629",1303809,"São Gabriel da Cachoeira","Região Antropizada",0,0
"630",1303809,"São Gabriel da Cachoeira","Região Conservada",10859962.84,99.47
"631",1303908,"São Paulo de Olivença","Arco do Desmatamento",0,0
"632",1303908,"São Paulo de Olivença","Cidades",0,0
"633",1303908,"São Paulo de Olivença","Outros",88070.24,4.48
"634",1303908,"São Paulo de Olivença","Região Antropizada",0,0
"635",1303908,"São Paulo de Olivença","Região Conservada",1877778.19,95.52
"636",1303957,"São Sebastião do Uatumã","Arco do Desmatamento",5259.75,0.49
"637",1303957,"São Sebastião do Uatumã","Cidades",0,0
"638",1303957,"São Sebastião do Uatumã","Outros",44553.51,4.18
"639",1303957,"São Sebastião do Uatumã","Região Antropizada",0,0
"640",1303957,"São Sebastião do Uatumã","Região Conservada",1014939.6,95.32
"641",1304005,"Silves","Arco do Desmatamento",0,0
"642",1304005,"Silves","Cidades",0,0
"643",1304005,"Silves","Outros",92105.95,24.74
"644",1304005,"Silves","Região Antropizada",0,0
"645",1304005,"Silves","Região Conservada",280239.75,75.26
"646",1304062,"Tabatinga","Arco do Desmatamento",0,0
"647",1304062,"Tabatinga","Cidades",0,0
"648",1304062,"Tabatinga","Outros",37962.69,11.62
"649",1304062,"Tabatinga","Região Antropizada",30.41,0.01
"650",1304062,"Tabatinga","Região Conservada",288606,88.37
"651",1304104,"Tapauá","Arco do Desmatamento",0,0
"652",1304104,"Tapauá","Cidades",0,0
"653",1304104,"Tapauá","Outros",72942.31,0.86
"654",1304104,"Tapauá","Região Antropizada",0,0
"655",1304104,"Tapauá","Região Conservada",8421599.36,99.14
"656",1304203,"Tefé","Arco do Desmatamento",9985.19,0.42
"657",1304203,"Tefé","Cidades",0,0
"658",1304203,"Tefé","Outros",90241.9,3.81
"659",1304203,"Tefé","Região Antropizada",0,0
"660",1304203,"Tefé","Região Conservada",2268990.41,95.77
"661",1304237,"Tonantins","Arco do Desmatamento",2833.27,0.44
"662",1304237,"Tonantins","Cidades",0,0
"663",1304237,"Tonantins","Outros",68974.84,10.7
"664",1304237,"Tonantins","Região Antropizada",0,0
"665",1304237,"Tonantins","Região Conservada",572883.75,88.86
"666",1304260,"Uarini","Arco do Desmatamento",9959.65,0.97
"667",1304260,"Uarini","Cidades",0,0
"668",1304260,"Uarini","Outros",107838.42,10.5
"669",1304260,"Uarini","Região Antropizada",0,0
"670",1304260,"Uarini","Região Conservada",909668.28,88.54
"671",1304302,"Urucará","Arco do Desmatamento",4703.58,0.17
"672",1304302,"Urucará","Cidades",0,0
"673",1304302,"Urucará","Outros",91125.54,3.27
"674",1304302,"Urucará","Região Antropizada",0,0
"675",1304302,"Urucará","Região Conservada",2694573.92,96.57
"676",1304401,"Urucurituba","Arco do Desmatamento",0,0
"677",1304401,"Urucurituba","Cidades",0,0
"678",1304401,"Urucurituba","Outros",174011.67,60.28
"679",1304401,"Urucurituba","Região Antropizada",0,0
"680",1304401,"Urucurituba","Região Conservada",114640.31,39.72